,length,min_row,min_col,max_row,max_col
1,11.0,1710,3584,1721,3585
2,32.0,1722,5888,1754,5889
3,15.0,1724,3584,1739,3585
4,53.0,1729,6912,1781,6915
5,33.0,1734,2048,1766,2051
6,11.0,1737,4352,1748,4353
7,12.0,1738,2560,1749,2563
8,21.0,1756,5376,1777,5377
9,34.0,1756,5888,1790,5890
10,12.0,1766,6400,1778,6401
11,12.0,1767,4608,1779,4609
12,12.0,1768,2048,1780,2049
13,11.0,1779,4352,1790,4353
14,10.0,1780,6522,1790,6528
15,16.0,2049,5691,2051,5707
16,22.0,2274,3328,2296,3330
17,17.0,2279,6987,2289,6996
18,10.0,2293,6968,2296,6978
19,14.0,2561,3446,2562,3460
20,13.0,2647,6019,2654,6026
21,38.0,2798,5822,2816,5834
22,11.0,2816,2017,2817,2028
23,29.0,2817,5724,2832,5736
24,19.0,2817,6749,2819,6768
25,10.0,2848,5724,2856,5728
26,20.0,3070,6615,3072,6635
27,12.0,3079,4852,3085,4860
28,45.0,3112,6659,3141,6665
29,23.0,3237,6144,3260,6146
30,13.0,3329,5781,3330,5794
31,14.0,3480,6144,3494,6145
32,26.0,3497,6144,3523,6145
33,10.0,3741,6655,3751,6656
34,11.0,3840,5719,3842,5730
35,26.0,4004,2280,4019,2296
36,22.0,4050,3783,4072,3787
37,13.0,4081,4356,4087,4367
38,11.0,4108,5888,4119,5889
39,23.0,4307,6400,4330,6401
40,14.0,4412,6026,4419,6031
41,11.0,4430,6038,4437,6043
42,10.0,4536,5366,4546,5371
43,21.0,4568,5632,4589,5633
44,17.0,4586,3584,4603,3585
45,13.0,4590,5632,4603,5633
46,12.0,4828,6144,4840,6145
47,13.0,4841,2560,4854,2561
48,10.0,4845,4174,4850,4183
49,13.0,4851,3699,4858,3706
50,24.0,4856,2743,4864,2758
51,19.0,5109,4506,5117,4518
52,10.0,5127,5548,5131,5558
53,17.0,5274,6144,5291,6145
54,13.0,5294,6144,5307,6145
55,11.0,6048,2870,6055,2876
56,10.0,6399,1973,6400,1983
57,12.0,6400,2007,6401,2019
58,13.0,6401,2894,6402,2907
59,13.0,6530,3584,6543,3585
60,11.0,6876,3072,6887,3073
61,28.0,7007,4608,7035,4609
62,10.0,7149,6144,7159,6145
63,14.0,7406,5341,7413,5346
64,21.0,7409,3086,7423,3092
65,15.0,7425,5325,7426,5340
66,11.0,7425,5358,7427,5369
67,17.0,7563,5632,7580,5633
68,14.0,7577,3970,7582,3984
69,11.0,7582,5632,7593,5633
70,17.0,7771,4273,7775,4289
71,11.0,7923,6153,7926,6164
72,10.0,8191,2008,8192,2018
73,81.0,8372,3588,8425,3617
74,28.0,8449,2732,8452,2760
75,13.0,8449,2991,8451,3004
76,15.0,8449,7083,8451,7098
77,23.0,8450,2770,8457,2785
78,14.0,8494,4366,8497,4380
79,14.0,8600,4616,8607,4622
80,13.0,8652,4352,8665,4353
81,10.0,8834,4352,8844,4353
82,12.0,8850,6144,8862,6146
83,14.0,8961,4951,8964,4965
84,15.0,9045,4864,9060,4865
85,13.0,9156,6144,9169,6145
86,14.0,9171,3003,9178,3011
87,14.0,9217,4078,9219,4092
88,31.0,9287,4864,9304,4872
89,10.0,9320,4267,9323,4277
90,25.0,9384,3328,9407,3332
91,15.0,9646,6611,9660,6624
92,24.0,9652,6611,9670,6635
93,34.0,9664,5888,9683,5909
94,10.0,9678,4352,9686,4361
95,21.0,9699,5738,9717,5753
96,15.0,9830,4362,9838,4373
97,14.0,10020,4921,10030,4928
98,10.0,10056,4864,10066,4865
99,29.0,10112,3176,10121,3199
100,18.0,10116,2304,10127,2315
101,39.0,10122,4104,10161,4115
102,17.0,10124,4642,10140,4654
103,36.0,10128,2884,10150,2905
104,51.0,10129,2429,10141,2456
105,19.0,10150,2045,10169,2048
106,17.0,10240,2816,10256,2819
107,17.0,10240,3584,10256,3587
108,40.0,10240,5120,10278,5124
109,12.0,10241,3326,10252,3329
110,11.0,10243,6400,10254,6401
111,12.0,10243,6912,10255,6913
112,12.0,10253,4352,10265,4353
113,69.0,10258,6400,10327,6402
114,17.0,10260,3840,10277,3841
115,20.0,10264,2814,10283,2817
116,15.0,10266,6912,10281,6913
117,24.0,10268,3326,10291,3329
118,11.0,10268,5888,10279,5889
119,13.0,10274,4608,10287,4609
120,12.0,10275,4096,10287,4097
121,11.0,10282,3584,10293,3585
122,15.0,10282,4352,10297,4353
123,22.0,10286,2815,10308,2817
124,22.0,10287,5888,10309,5889
125,12.0,10300,4608,10312,4609
