,length,min_row,min_col,max_row,max_col
1,12.0,1919,3954,1931,3962
2,15.0,1957,3911,1958,3926
3,26.0,1975,5011,1984,5034
4,28.0,1989,4482,2012,4499
5,13.0,1989,5630,2002,5631
6,29.0,2023,6215,2041,6228
7,14.0,2049,3034,2051,3048
8,12.0,2049,6196,2050,6208
9,41.0,2194,1506,2235,1519
10,37.0,2242,1211,2250,1237
11,22.0,2255,2519,2262,2533
12,31.0,2272,2111,2276,2142
13,17.0,2283,3511,2289,3523
14,13.0,2307,1078,2310,1091
15,21.0,2352,2048,2373,2049
16,36.0,2368,2845,2390,2860
17,23.0,2384,2827,2392,2845
18,17.0,2388,1574,2398,1582
19,16.0,2416,3236,2423,3249
20,29.0,2561,3752,2563,3781
21,12.0,2561,3788,2562,3800
22,16.0,2561,3802,2566,3818
23,26.0,2632,3328,2658,3329
24,13.0,2684,4352,2697,4353
25,14.0,2727,4787,2741,4792
26,15.0,2846,4688,2861,4690
27,30.0,2932,5606,2956,5614
28,13.0,2950,2593,2951,2606
29,28.0,2960,5611,2980,5618
30,13.0,2964,2560,2977,2561
31,20.0,2992,4864,3012,4865
32,13.0,3068,5655,3071,5668
33,19.0,3285,2637,3298,2646
34,15.0,3578,4626,3584,4636
35,54.0,4054,1153,4083,1174
36,37.0,4097,3485,4110,3498
37,16.0,4100,1141,4111,1151
