,length,min_row,min_col,max_row,max_col
1,40.0,1680,944,1705,951
2,26.0,1792,1098,1794,1124
3,36.0,1793,2210,1795,2246
4,19.0,1808,2481,1822,2499
5,35.0,1832,6180,1861,6193
6,25.0,1915,5889,1937,5902
7,52.0,1929,5462,1962,5484
8,16.0,2048,6172,2050,6188
9,25.0,2301,6166,2305,6188
10,39.0,2367,2848,2401,2869
11,18.0,2385,4864,2403,4865
12,15.0,2407,2868,2419,2878
13,18.0,2442,2891,2457,2898
14,24.0,2557,6165,2561,6186
15,18.0,2726,4784,2741,4791
16,23.0,2813,6168,2818,6185
17,20.0,2815,6146,2816,6166
18,37.0,2877,4352,2914,4354
19,24.0,2918,4352,2942,4353
20,15.0,2925,2048,2940,2049
21,37.0,3041,5621,3068,5627
22,15.0,3068,5654,3072,5669
23,49.0,3069,6158,3074,6198
24,19.0,3139,4352,3158,4353
25,24.0,3263,5120,3287,5121
26,21.0,3327,6161,3329,6182
27,46.0,3581,6146,3584,6185
28,39.0,3684,6004,3693,6043
29,20.0,3839,6173,3840,6193
30,40.0,4095,6146,4096,6186
31,61.0,4349,6150,4352,6192
32,23.0,4481,4608,4504,4609
33,30.0,4586,5782,4599,5798
34,43.0,4605,6146,4608,6179
35,29.0,4863,6166,4864,6195
36,16.0,4984,1792,5000,1794
37,19.0,5118,6145,5120,6164
38,38.0,5451,1806,5453,1844
39,24.0,5451,3184,5453,3208
40,44.0,5889,1440,5891,1484
41,21.0,6750,5632,6771,5633
42,38.0,7167,6167,7169,6205
43,24.0,7258,5632,7282,5633
44,20.0,7423,6192,7424,6212
45,23.0,7425,4169,7427,4192
46,15.0,7727,1944,7732,1952
47,50.0,7935,6160,7936,6210
48,15.0,8083,1795,8092,1802
49,44.0,8191,6167,8192,6211
50,16.0,8275,4864,8291,4865
51,23.0,8345,5376,8368,5377
52,21.0,8430,4462,8442,4474
53,19.0,8430,4474,8444,4480
54,56.0,8447,6146,8448,6202
55,23.0,8642,4608,8665,4609
56,15.0,8685,4608,8700,4609
57,41.0,8959,6155,8961,6196
58,16.0,9028,2048,9044,2049
59,33.0,9215,6157,9217,6190
60,24.0,9217,4870,9220,4892
61,15.0,9352,3354,9362,3364
62,60.0,9471,6146,9472,6206
63,47.0,9621,6148,9644,6181
64,22.0,9669,4624,9685,4634
65,35.0,9688,4055,9712,4073
66,22.0,9693,4608,9704,4625
67,15.0,9728,6171,9729,6186
68,19.0,9729,1280,9740,1291
69,16.0,9871,4864,9883,4871
70,20.0,9874,4761,9885,4771
71,66.0,9981,6146,9984,6203
72,31.0,10010,1015,10041,1022
73,16.0,10047,2398,10059,2405
74,16.0,10060,1018,10073,1023
75,29.0,10076,2716,10093,2732
