,length,min_row,min_col,max_row,max_col
1,32.0,1976,5188,1994,5203
2,57.0,1992,5376,2020,5386
3,4.0,1996,6656,2000,6657
4,5.0,2004,6664,2009,6669
5,5.0,2009,5654,2012,5659
6,22.0,2009,5809,2017,5824
7,16.0,2012,6686,2026,6702
8,15.0,2016,4609,2030,4614
9,21.0,2017,6677,2032,6698
10,26.0,2018,6455,2033,6468
11,10.0,2030,4608,2040,4610
12,4.0,2030,5640,2034,5644
13,66.0,2030,7143,2072,7175
14,35.0,2031,4925,2045,4948
15,30.0,2038,6221,2048,6238
16,11.0,2038,6448,2041,6459
17,14.0,2040,6024,2048,6031
18,5.0,2046,5838,2047,5843
19,10.0,2046,6447,2047,6457
20,4.0,2047,7169,2048,7173
21,4.0,2103,7171,2105,7175
22,5.0,2160,2016,2165,2017
23,14.0,2163,2025,2177,2031
24,19.0,2172,2021,2191,2031
25,6.0,2209,5218,2214,5224
26,5.0,2321,3811,2326,3815
27,12.0,2339,3822,2350,3826
28,9.0,2370,5888,2379,5889
29,6.0,2379,3328,2385,3329
30,4.0,2393,5888,2397,5889
31,10.0,2405,3328,2415,3329
32,5.0,2406,5376,2411,5377
33,6.0,2423,4608,2429,4609
34,38.0,2426,3874,2463,3893
35,5.0,2438,3328,2443,3329
36,7.0,2463,4864,2470,4865
37,4.0,2471,3902,2475,3904
38,4.0,2471,4608,2475,4609
39,4.0,2472,6144,2476,6145
40,5.0,2474,5888,2479,5889
41,4.0,2481,6144,2485,6145
42,9.0,2485,3909,2494,3915
43,7.0,2492,6144,2499,6145
44,6.0,2502,6144,2508,6145
45,13.0,2524,6144,2537,6145
46,5.0,2530,2633,2535,2634
47,4.0,2544,6144,2548,6145
48,11.0,2552,4788,2556,4799
49,6.0,2634,3328,2640,3329
50,4.0,2648,4608,2652,4609
51,4.0,2648,6023,2652,6027
52,8.0,2653,3328,2661,3329
53,8.0,2666,3328,2674,3329
54,6.0,2675,3328,2681,3329
55,7.0,2683,3328,2690,3329
56,9.0,2694,3328,2703,3329
57,4.0,2716,3328,2720,3329
58,4.0,2725,3328,2729,3329
59,4.0,2731,3328,2735,3329
60,9.0,2734,4026,2742,4033
61,4.0,2760,4608,2764,4609
62,8.0,2777,5815,2782,5820
63,9.0,2805,5823,2810,5828
64,28.0,2806,6832,2816,6852
65,8.0,2815,2751,2816,2759
66,5.0,2815,5005,2816,5010
67,4.0,2815,6286,2816,6290
68,8.0,2817,5072,2818,5080
69,10.0,2817,5082,2818,5092
70,8.0,2817,5103,2818,5111
71,5.0,2817,5826,2819,5831
72,4.0,2817,7070,2818,7074
73,9.0,2827,5831,2834,5836
74,10.0,2829,5108,2830,5118
75,18.0,2832,5087,2838,5105
76,6.0,2875,3328,2881,3329
77,7.0,2882,4352,2889,4353
78,10.0,2890,4352,2900,4353
79,13.0,2890,5723,2897,5729
80,8.0,2903,4352,2911,4353
81,14.0,2908,5888,2922,5889
82,7.0,2923,4352,2930,4353
83,4.0,2926,5888,2930,5889
84,4.0,2928,6144,2932,6145
85,4.0,2930,3072,2934,3073
86,5.0,2938,4608,2943,4609
87,4.0,2942,4352,2946,4353
88,7.0,2945,3328,2952,3329
89,5.0,2948,5888,2953,5889
90,12.0,2958,3328,2970,3329
91,4.0,2958,5888,2962,5889
92,4.0,2960,4608,2964,4609
93,10.0,2973,3328,2983,3329
94,12.0,2975,4608,2987,4609
95,16.0,2990,4608,3006,4609
