,length,min_row,min_col,max_row,max_col
1,13.0,2050,3654,2060,3659
2,27.0,2118,6055,2138,6064
3,29.0,2141,7172,2170,7182
4,17.0,2167,4954,2174,4969
5,12.0,2283,3786,2293,3795
6,8.0,2381,4608,2389,4609
7,15.0,2390,6618,2400,6632
8,11.0,2392,4368,2403,4371
9,8.0,2469,5642,2475,5647
10,28.0,2472,5632,2500,5633
11,13.0,2561,3943,2563,3956
12,8.0,2561,3959,2562,3967
13,15.0,2572,3328,2587,3329
14,8.0,2687,4608,2695,4609
15,13.0,2745,4864,2758,4865
16,9.0,2783,4228,2789,4234
17,8.0,2804,4864,2812,4865
18,13.0,2805,5823,2811,5830
19,8.0,2815,6799,2816,6807
20,9.0,2817,5828,2820,5837
21,24.0,2833,5081,2838,5105
22,22.0,2863,5888,2885,5889
23,18.0,2889,4608,2907,4609
24,18.0,2913,4608,2931,4609
25,14.0,2940,4608,2954,4609
26,8.0,2979,6144,2987,6145
27,12.0,2986,6643,2993,6647
28,16.0,2988,3328,3004,3330
29,11.0,3003,6144,3014,6145
30,9.0,3006,4352,3015,4353
31,17.0,3007,6646,3021,6650
32,9.0,3018,3328,3027,3329
33,15.0,3028,6648,3036,6653
34,12.0,3029,3328,3041,3329
35,17.0,3033,6144,3050,6145
36,26.0,3042,3328,3068,3329
37,10.0,3043,3072,3053,3073
38,15.0,3050,4608,3065,4609
39,11.0,3110,3072,3121,3073
40,32.0,3113,6660,3137,6666
41,9.0,3127,3072,3136,3073
42,9.0,3144,6144,3153,6145
43,9.0,3148,6663,3154,6668
44,8.0,3158,6663,3164,6667
45,17.0,3221,4864,3238,4865
46,32.0,3251,5632,3283,5633
47,8.0,3252,4864,3260,4865
48,9.0,3301,6036,3304,6045
49,10.0,3329,4120,3330,4130
50,11.0,3379,3686,3385,3697
51,32.0,3395,4608,3423,4614
52,15.0,3396,4352,3411,4353
53,11.0,3404,4363,3410,4373
54,9.0,3432,4608,3441,4609
55,13.0,3462,4608,3475,4609
56,12.0,3481,6144,3493,6145
57,9.0,3495,6144,3504,6145
58,32.0,3510,6144,3542,6145
59,18.0,3536,5888,3554,5889
60,9.0,3566,2847,3574,2852
61,20.0,3710,4352,3730,4353
62,8.0,3731,3072,3739,3073
63,10.0,3732,4352,3742,4353
64,33.0,3794,6891,3827,6896
65,18.0,3795,5416,3813,5424
66,16.0,3798,5424,3814,5431
67,21.0,3800,7168,3821,7171
68,24.0,3810,7175,3834,7182
69,21.0,3812,5120,3824,5129
70,8.0,3837,7172,3838,7180
71,32.0,3837,7168,3844,7197
72,14.0,3838,5987,3840,6001
73,36.0,3841,5723,3853,5746
74,15.0,3841,6715,3843,6730
75,9.0,3853,6694,3860,6703
76,14.0,3861,6694,3871,6708
77,13.0,3893,4352,3906,4353
78,11.0,3910,4352,3921,4353
79,14.0,3911,4366,3921,4373
80,19.0,3938,3072,3957,3073
81,18.0,4157,6144,4175,6145
82,13.0,4171,6656,4184,6657
83,32.0,4202,5888,4234,5889
84,11.0,4237,5888,4248,5889
85,17.0,4324,3072,4341,3073
86,8.0,4325,5888,4333,5889
87,18.0,4380,2224,4390,2234
88,32.0,4397,4205,4410,4223
