,length,min_row,min_col,max_row,max_col
1,32.0,2203,1507,2235,1517
2,33.0,2217,2721,2250,2736
3,30.0,2239,1677,2246,1707
4,39.0,2242,1219,2247,1258
5,2.0,2244,2496,2245,2498
6,42.0,2247,1931,2270,1973
7,37.0,2250,2496,2260,2533
8,20.0,2259,3409,2279,3412
9,3.0,2274,2114,2276,2117
10,2.0,2286,1132,2288,1134
11,10.0,2305,1085,2306,1095
12,18.0,2305,3360,2308,3378
13,28.0,3645,5027,3668,5040
14,33.0,3658,4857,3686,4868
15,3.0,4097,1144,4098,1147
16,3.0,4109,2699,4112,2700
17,3.0,4137,3378,4138,3381
18,14.0,4143,3371,4145,3385
