,length,min_row,min_col,max_row,max_col
1,9.0,1791,5084,1792,5093
2,30.0,1826,6183,1856,6188
3,15.0,1884,4713,1893,4722
4,28.0,1894,4509,1905,4537
5,25.0,1898,5900,1918,5922
6,2.0,1902,5754,1904,5755
7,49.0,1904,3966,1927,3992
8,41.0,1908,3705,1946,3717
9,15.0,2219,3587,2225,3599
10,2.0,2252,3443,2253,3445
11,17.0,2266,3281,2274,3292
12,19.0,2270,3297,2281,3308
13,20.0,2281,2408,2301,2412
14,2.0,2305,1181,2306,1183
15,6.0,2305,3319,2306,3325
16,2.0,2310,1183,2311,1185
17,5.0,2318,1186,2323,1188
18,3.0,2867,6031,2868,6034
19,2.0,3547,5431,3549,5433
20,50.0,3571,4157,3580,4192
21,2.0,3578,5429,3580,5430
22,5.0,3582,4790,3583,4795
23,5.0,3582,4821,3584,4826
24,32.0,3613,4611,3631,4628
25,42.0,3616,5529,3644,5561
26,3.0,3633,4101,3634,4104
27,46.0,3654,5968,3685,6010
28,3.0,3658,4110,3659,4113
29,11.0,3662,4108,3673,4115
30,3.0,3674,3269,3675,3272
31,33.0,3937,3374,3965,3382
32,25.0,3943,2607,3968,2618
33,2.0,3957,3327,3959,3328
34,2.0,3969,3376,3971,3378
35,13.0,3980,2052,3982,2065
36,3.0,5120,3990,5121,3993
37,9.0,5375,3972,5376,3981
38,3.0,5551,4687,5552,4690
39,2.0,5554,4662,5556,4664
40,21.0,5630,5132,5632,5153
41,3.0,6399,1282,6400,1285
42,4.0,7531,2557,7535,2559
43,2.0,7538,5029,7540,5030
44,17.0,7914,5833,7931,5838
45,2.0,7944,5837,7946,5838
46,48.0,7968,4068,8006,4087
47,5.0,7977,3581,7982,3583
48,9.0,8190,2677,8192,2686
49,2.0,8703,1573,8704,1575
50,4.0,8703,1576,8704,1580
51,3.0,8816,1388,8819,1390
52,11.0,9697,4611,9707,4622
53,3.0,9724,5004,9727,5007
54,3.0,9728,5000,9729,5003
55,23.0,10033,1185,10040,1196
56,30.0,10033,2400,10063,2413
57,11.0,10036,1022,10047,1023
58,18.0,10089,2713,10098,2731
