,length,min_row,min_col,max_row,max_col
1,21.0,1991,5254,2012,5269
2,20.0,1993,5377,2013,5385
3,37.0,2000,6665,2022,6690
4,33.0,2009,5809,2020,5834
5,23.0,2023,6490,2044,6508
6,28.0,2033,4919,2043,4947
7,31.0,2034,7147,2062,7168
8,8.0,2036,4610,2044,4615
9,16.0,2043,6032,2047,6046
10,4.0,2048,5672,2049,5676
11,7.0,2049,5030,2053,5037
12,15.0,2049,6448,2050,6463
13,4.0,2082,7166,2086,7167
14,4.0,2184,3701,2188,3703
15,14.0,2192,3696,2206,3699
16,9.0,2211,3070,2220,3071
17,32.0,2212,2232,2244,2236
18,13.0,2241,2557,2254,2559
19,4.0,3579,6912,3583,6914
20,5.0,3582,5416,3584,5421
21,4.0,3615,6401,3619,6402
22,48.0,3621,6396,3661,6403
23,21.0,3638,5380,3658,5398
24,43.0,3641,6819,3656,6857
25,11.0,3654,7172,3665,7182
26,4.0,3665,5032,3667,5036
27,25.0,3668,6008,3691,6030
28,3.0,3671,5045,3672,5048
29,3.0,3675,5058,3678,5059
30,17.0,3923,3969,3932,3985
31,35.0,3940,4036,3970,4062
32,8.0,5119,6402,5120,6410
33,8.0,5313,2198,5321,2205
34,3.0,5354,2047,5357,2048
35,4.0,5375,3206,5376,3210
36,7.0,5524,2405,5526,2412
37,4.0,5631,6773,5632,6777
38,87.0,5886,3695,5888,3782
39,4.0,6095,4995,6096,4999
40,3.0,7260,5418,7263,5419
41,4.0,7679,5319,7680,5323
42,4.0,7679,5326,7680,5330
43,5.0,7681,5379,7682,5384
44,3.0,8185,5621,8188,5622
45,3.0,8191,6738,8192,6741
46,21.0,8193,5915,8214,5922
47,3.0,9215,2710,9216,2713
48,25.0,9978,5271,9999,5279
49,5.0,10239,3006,10240,3011
50,3.0,10241,2849,10242,2852
51,4.0,10241,2856,10242,2860
52,9.0,10243,4210,10252,4215
53,3.0,10252,4598,10253,4601
54,17.0,10283,2333,10298,2345
