 ,Area,Mean,Min,Max,Length
1,51,249.991,0,255,50.949
2,25,255,255,255,24.207
3,54,255,255,255,53.339
4,52,255,255,255,51.39
5,32,255,255,255,31.78
6,46,250.839,63.75,255,45.253
7,43,252.529,148.76,255,42.86
8,51,254.375,223.125,255,50.639
9,48,251.211,115.547,255,47.153
10,63,253.651,169.99,255,62.387
11,45,254.292,223.125,255,44.944
12,48,251.016,63.75,255,47.684
13,55,253.841,191.25,255,54.546
14,42,252.723,159.375,255,41.6
15,47,252.965,159.375,255,46.335
16,46,251.356,127.5,255,45.01
17,68,253.125,127.5,255,67.433
18,48,255,255,255,47.424
19,70,251.726,32.883,255,69.383
20,37,255,255,255,36.929
21,59,252.49,127.5,255,58.707
22,32,254.004,223.125,255,31.118
23,34,253.101,211.669,255,33.177
24,46,255,255,255,45.079
25,48,250.761,84.979,255,47.365
26,40,251.885,191.25,255,39.051
27,17,245.836,148.792,255,16.296
28,51,253.954,212.479,255,50.067
29,48,252.344,127.5,255,47.882
30,37,253.277,191.25,255,36.776
31,42,251.964,127.5,255,41.74
32,43,254.629,239.062,255,42.623
33,14,245.893,127.5,255,13.928
34,47,249.39,127.5,255,46.011
35,70,254.089,191.25,255,69.575
36,48,251.312,77.977,255,47.683
37,29,250.054,111.562,255,28.971
38,35,250.538,141.618,255,34.263
39,27,253.367,212.51,255,26.685
40,40,254.203,223.125,255,39.46
41,36,251.236,159.375,255,35.611
42,46,251.631,100.003,255,45.069
43,46,252.535,141.629,255,45.955
44,41,252.747,170.083,255,40.823
45,57,250.445,0,255,56.467
46,60,252.875,127.5,255,59.96
47,50,254.29,219.507,255,49.307
48,46,254.077,212.542,255,45.997
1,40,250.914,127.5,255,39.507
2,52,254.861,247.759,255,51.473
3,43,255,255,255,43.026
4,54,254.174,223.125,255,53.633
5,49,255,255,255,48.508
6,44,247.783,0,255,43.109
7,41,255,255,255,40.649
8,42,252.977,170.021,255,41.628
9,35,252.268,159.375,255,34.896
10,48,253.672,191.25,255,47.91
11,36,250.435,159.375,255,35.259
12,48,252.102,158.378,255,47.376
13,46,249.018,0,255,45.894
14,40,251.812,127.5,255,39.357
15,58,253.064,159.375,255,57.316
16,48,252.497,143.438,255,47.347
17,63,252.199,163.531,255,62.342
18,43,253.771,212.542,255,42.461
19,53,254.323,219.141,255,52.954
20,38,250.952,122.395,255,37.066
21,48,248.974,63.75,255,47.626
22,56,253.862,191.25,255,55.612
23,44,248.641,102.692,255,43.076
24,50,252.45,127.5,255,49.364
25,61,251.476,127.5,255,60.222
26,47,253.344,177.153,255,46.331
27,44,252.585,148.729,255,43.863
28,42,252.646,170.083,255,41.581
29,47,252.965,159.375,255,46.886
30,46,251.956,115.547,255,45.936
31,26,251.734,170.083,255,25.693
32,46,252.422,159.375,255,45.398
33,35,249.703,143.438,255,34.046
34,43,252.343,170.083,255,42.089
35,53,252.594,127.5,255,52.797
36,42,252.773,195.234,255,41.581
37,59,254.278,212.417,255,58.728
38,64,254.667,233.708,255,63.722
39,54,252.763,134.211,255,53.038
40,65,251.085,64.248,255,64.002
41,49,255,255,255,48.541
42,68,248.889,0,255,67.709
43,62,253.079,191.25,255,61.043
44,56,254.24,212.417,255,55.699
45,50,253.184,164.208,255,49.413
46,58,253.901,191.25,255,57.98
47,51,247.676,63.75,255,50.101
48,67,255,255,255,66.549
1,75,252.611,141.66,255,74.961
2,60,252.232,88.937,255,59.405
3,48,252.786,148.729,255,47.333
4,54,251.956,155.391,255,53.369
5,26,252.548,191.25,255,25.907
6,40,248.816,119.531,255,39.089
7,20,248.625,127.5,255,19.921
8,22,249.788,175.833,255,21.263
9,55,252.63,127.5,255,54.674
10,51,251.651,111.562,255,50.152
11,51,254.304,219.518,255,50.444
12,48,253.672,191.25,255,47.736
13,53,254.333,219.632,255,52.825
14,56,252.723,127.5,255,55.664
15,66,253.068,127.5,255,65.805
16,49,254.978,253.943,255,48.18
17,55,255,255,255,54.879
18,49,253.699,191.25,255,48.251
1,34,253.959,219.611,255,33.944
2,58,255,255,255,57.66
3,52,254.183,212.542,255,51.671
4,49,252.398,127.5,255,48.591
5,49,252.398,127.5,255,48.999
6,44,247.894,0,255,43.129
7,26,253.366,212.51,255,25.5
8,33,250.51,113.382,255,32.646
9,47,251.819,127.5,255,46.583
10,41,253.961,212.417,255,40.905
11,50,251.175,63.75,255,49.906
12,50,252.45,127.5,255,49.154
13,54,254.211,212.417,255,53.749
14,58,253.901,191.25,255,57.359
15,71,253.194,127.5,255,70.472
16,52,247.381,22.439,255,51.546
17,51,255,255,255,50.734
1,59,252.863,159.375,255,58.515
2,59,253.143,159.375,255,58.523
3,48,251.916,148.745,255,47.402
4,60,251.944,96.065,255,59.775
5,48,254.307,221.76,255,47.202
6,65,250.61,108.393,255,64.031
7,48,255,255,255,47.846
8,50,255,255,255,49.284
9,67,249.995,7.075,255,67.334
10,59,254.924,250.529,255,58.517
11,58,253.901,191.25,255,57.739
12,20,247.729,109.57,255,19.903
13,27,251.853,170.021,255,26.436
14,41,253.636,219.141,255,40.5
15,39,252.276,148.76,255,38.145
16,39,253.365,191.25,255,38.908
17,52,252.658,139.453,255,51.679
18,54,254.98,253.906,255,53.265
19,40,253.404,191.25,255,39.284
20,51,252.855,170.021,255,50.27
21,46,255,255,255,46.665
22,55,253.526,173.952,255,54.558
23,44,252.102,127.5,255,43.559
24,68,255,255,255,67.796
25,57,252.343,167.282,255,56.157
26,70,253.179,127.5,255,69.524
27,48,254.688,240.019,255,47.461
28,39,254.183,223.125,255,38.597
1,46,253.614,191.25,255,45.925
2,24,244.5,56.649,255,23.467
3,58,253.901,191.25,255,58.014
4,40,250.032,141.289,255,39.222
5,55,253.758,219.564,255,54.31
6,42,255,255,255,41.989
7,56,253.862,191.25,255,55.853
8,49,252.723,143.438,255,48.338
9,43,252.529,148.76,255,43.029
10,38,249.291,127.5,255,37.102
11,44,251.165,114.594,255,43.116
12,33,254.715,245.579,255,32.388
13,25,252.45,191.25,255,24.706
1,43,248.734,47.812,255,42.418
2,44,253.422,212.51,255,43.165
3,35,253.256,212.51,255,34.533
4,43,252.035,127.5,255,42.166
5,40,252.073,169.958,255,39.073
6,42,252.975,169.958,255,41.602
7,39,251.649,127.5,255,38.842
8,39,252.548,159.375,255,38.563
9,53,252.194,106.271,255,52.9
10,43,255,255,255,43.157
11,39,253.911,212.542,255,38.896
12,57,255,255,255,56.818
13,60,255,255,255,59.076
14,50,250.924,114.953,255,49.189
15,44,249.532,63.75,255,43.443
16,43,250.208,111.562,255,42.739
17,56,255,255,255,55.849
18,50,255,255,255,49.497
19,22,252.102,191.25,255,21.303
20,46,253.42,214.203,255,45.484
1,42,250.993,127.5,255,41.07
2,41,255,255,255,40.262
3,42,249.671,66.68,255,41.91
4,44,250.061,127.5,255,43.51
5,33,253.71,212.417,255,32.256
6,42,253.482,191.25,255,41.832
7,53,254.198,212.479,255,52.564
8,48,254.113,212.417,255,47.946
9,49,252.398,127.5,255,48.64
10,57,249.947,0,255,56.87
11,53,254.599,233.74,255,52.227
12,58,250.434,0,255,57.73
13,46,255,255,255,45.539
14,56,254.24,212.417,255,55.595
15,52,252.027,127.5,255,51.397
16,54,254.478,226.8,255,53.375
17,41,255,255,255,40.224
18,51,247.578,27.214,255,50.596
19,60,252.875,127.5,255,59.725
20,51,254.307,219.632,255,50.344
21,57,253.882,191.25,255,56.638
22,47,255,255,255,46.887
